,ID,Tên quán,Đánh giá,Sáng/Trưa/Tối,Giờ mở cửa,Giá tiền,Địa chỉ,Media,Lat,Lon,TestLat,TestLon
,E017,Tiệm Gà Lưng Chừng Đồi,"4,8",Trưa/Tối,10:00 - 22:00,100.000 - 200.000,"hẻm 1 Đường Đặng Thái Thân, Phường 3, Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@_tiemgalungchungdoi_/video/7510087631372438802?is_from_webapp=1&sender_device=pc&web_id=7539491341274269185,"11,9300349","108,4477156","11,9300349","108,4477156"
,E018,Cơm Lá Chuối,"4,1",Trưa/Tối,10:30 - 20:00,100.000,"23/2 Đ. Trần Phú, Phường 3, Đà Lạt, Lâm Đồng 670000, Việt Nam",https://www.tiktok.com/@xuanangiday/video/7399624770620361991?is_from_webapp=1&sender_device=pc&web_id=7539491341274269185,"11,9363192","108,4349751","11,9363192","108,4349751"
,E019,Tiệm Nướng Trên Mây,"4,6",Trưa/Tối,10:00 - 22:00,100.000 - 200.000,"19A Đặng Thái Thân, Phường 3, Đà Lạt, Lâm Đồng 67000, Việt Nam",https://www.tiktok.com/@dalatreviewtattantat/video/7392805784033234183?is_from_webapp=1&sender_device=pc&web_id=7539491341274269185,"11,9301236","108,4496679","11,9301236","108,4496679"
,E020,Quán Bà Năm Chút,"4,1",Sáng/Trưa/Tối,Cả ngày,100.000,"2e Ba Tháng Tư, Phường 3, Đà Lạt, Lâm Đồng, Việt Nam",https://www.foody.vn/lam-dong/ba-nam-chut-com-ga,"11,9337685","108,445265","11,9337685","10,8445265"
,E021,Quán Nướng Chill in Dalat,"4,9",Trưa/Tối,10:00 - 22:00,100.000 - 200.000,"Hẻm 1 Đường Đặng Thái Thân, Phường 3, Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@tuilasapne/video/7376531805442297096?is_from_webapp=1&sender_device=pc&web_id=7565430107423360530,"11,9300349","108,4477156","11,9300349","108,4477156"
,E022,Nhà hàng Cơm niêu Như Ngọc,"4,1",Sáng/Trưa/Tối,08:30 - 20:30,100.000 - 200.000,"1/18 Hồ Tùng Mậu, Phường 3, Đà Lạt, Lâm Đồng, Việt Nam", https://www.tiktok.com/@diancungquoc/video/7506852409931615506?is_from_webapp=1&sender_device=pc&web_id=7565430107423360530,"11,9372313","108,4451556","11,9372313","108,4451556"
,E023,Carrot Restaurant - Món Âu ngon Đà Lạt,"4,2",Trưa/Tối,11:00–14:00 & 17:00–22:00,200.000 - 300.000,"36 Đường Bà Triệu, Phường 3, Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@rosiegoesaround/video/7023001809828482330?is_from_webapp=1&sender_device=pc&web_id=7565430107423360530,"11,9373172","108,4335045","11,9373172","108,4335045"
,E024,Vườn Mơ Quán,"4,2",Trưa/Tối,10:00 - 22:30,100.000 - 200.000,"11A Đường Nhà Chung, Phường 3, Đà Lạt, Lâm Đồng 66000, Việt Nam",https://www.tiktok.com/@futthi0904/video/7524327510067154194?is_from_webapp=1&sender_device=pc&web_id=7565430107423360530,"11,9354115","108,438403","11,9354115","10,8438403"
,E025,Quán ăn bình dân 369,4,,Không có thông tin,100.000 - 200.000,"2 Đường Lương Thế Vinh, Phường 3, Đà Lạt, Lâm Đồng, Việt Nam",Not found,"11,934099","108,4411761","1,1934099","108,4411761"
,E026,Quán ăn sân vườn Osaka,"4,6",Trưa/Tối,10:00 - 22:00,100.000 - 200.000,"Đường hoa đổ quyên hồ, Tuyền Lâm, Phường 3, Tp. Đà Lạt, Lâm Đồng 66000, Việt Nam",Not found,"11,8753638","108,4492758","11,8753638","108,4492758"
,E027,Từ Sen vegetarian and cafe Đà Lạt,"4,9",Sáng/Trưa/Tối,07:30 - 20:00,100.000,"4 Đường Lương Thế Vinh, Phường 3, Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@greenleila24/video/7471621492648758535?is_from_webapp=1&sender_device=pc&web_id=7565430107423360530,"11,9338067","108,4430268","11,9338067","108,4430268"
,E028,Nướng Đà Lạt và Em,"3,9",Trưa/Tối,10:00 - 23:00,200.000 - 300.000,"24 3 Tháng 4, Phường 3, Đà Lạt, Lâm Đồng 67000, Việt Nam",https://www.tiktok.com/@launuongdalatvaem/video/7196188073183431962?is_from_webapp=1&sender_device=pc&web_id=7565430107423360530,"11,9280937","108,4475206","11,9280937","108,4475206"
,E029,Tiệm Nướng Thông Reo,"4,4",Trưa/Tối,10:00 - 22:00,100.000 - 200.000,"31/3 3 Tháng 4, Phường 3, Đà Lạt, Lâm Đồng, Việt Nam",https://www.facebook.com/share/p/1C5Z5dd54G/,"11,9253627","108,4484692","11,9253627","108,4484692"
,E030,PHỞ ÂN Đà Lạt ,"4,9",Sáng/Trưa,06:00 - 13:00,100.000,"23/5 Đ. Trần Phú, Phường 3, Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@phoandalat/video/7537163618773699847?is_from_webapp=1&sender_device=pc&web_id=7565430107423360530,"11,9363439","108,4343571","11,9363439","108,4343571"
,E031,Quán Hồi Xưa,"4,5",Trưa/Tối,10:30 - 20:00,100.000 - 200.000,"2 Đường Hà Huy Tập, Phường 3, Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@nhienthichan/video/7042252772133129474?is_from_webapp=1&sender_device=pc&web_id=7565430107423360530,"11,9363285","108,4408766","11,9363285","108,4408766"
,E032,Tiệm Nướng Mêli,"3,9",Trưa/Tối,10:00 - 22:00,100.000 - 200.000,"2 Đường Đặng Thái Thân, Phường 3, Đà Lạt, Lâm Đồng 660000, Việt Nam",https://www.tiktok.com/@melifarmstay/video/7100017629729082650?is_from_webapp=1&sender_device=pc&web_id=7565430107423360530,"11,9302286","108,4478168","11,9302286","108,4478168"
,E033,Bánh căn Nhà Chung,3.9,Sáng/Trưa/Tối,07:00 - 21:30,100.000,"1 Đường Nhà Chung, Phường 3, Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@daydayreview/video/7539162273772866824?is_from_webapp=1&sender_device=pc&web_id=7565430107423360530,"11,9361427","108,4382477","11,9361427","108,4382477"
Phường 2,E034,Bánh ướt lòng gà LONG,4.0,Sáng/Trưa/Tối,6:30 - 18:00,100.000,"202/2/5, Phan Đình Phùng, Phường 2, Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@sayhihuy/video/7322407344707570951?q=B%C3%A1nh%20%C6%B0%E1%BB%9Bt%20l%C3%B2ng%20g%C3%A0%20LONG&t=1761402323306,"11,9488858","108,4361063","11,9488858","108,4361063"
,E035,Bánh Mì Xíu Mại Ri 79 (Đối diện cây xăng Tỉnh Đội),4.6,Sáng/Trưa/Tối,06:00 - 19:00,50.000,"2 Đường Thông Thiên Học, Phường Lâm Viên, Đà Lạt, Lâm Đồng 670000, Việt Nam",https://www.tiktok.com/@thuyminp/video/7562987729185770759?q=B%C3%A1nh%20M%C3%AC%20X%C3%ADu%20M%E1%BA%A1i%20Ri%2079%20%28%C4%90%E1%BB%91i%20di%E1%BB%87n%20c%C3%A2y%20x%C4%83ng%20T%E1%BB%89nh%20%C4%90%E1%BB%99i%29&t=1761402528719,"11,9507378","108,4377076","11,9507378","108,4377076"
